# Program:featureCounts v1.6.4; Command:"featureCounts" "-a" "../assignment-data//db/gencode.v30.annotation.gtf" "-g" "gene_name" "-o" "../assignment-data//results/diff-res/counts.txt" "../assignment-data//results/diff-res/bwa/S1.bam" "../assignment-data//results/diff-res/bwa/S2.bam" "../assignment-data//results/diff-res/bwa/S3.bam" "../assignment-data//results/diff-res/bwa/S4.bam" "../assignment-data//results/diff-res/bwa/S5.bam" "../assignment-data//results/diff-res/hisat/S1.bam" "../assignment-data//results/diff-res/hisat/S2.bam" "../assignment-data//results/diff-res/hisat/S3.bam" "../assignment-data//results/diff-res/hisat/S4.bam" "../assignment-data//results/diff-res/hisat/S5.bam" 
Geneid	../assignment-data//results/diff-res/bwa/S1.bam	../assignment-data//results/diff-res/bwa/S2.bam	../assignment-data//results/diff-res/bwa/S3.bam	../assignment-data//results/diff-res/bwa/S4.bam	../assignment-data//results/diff-res/bwa/S5.bam	../assignment-data//results/diff-res/hisat/S1.bam
LINC02618	0	0	0	0	0	0
TPT1P3	0	0	0	0	0	0
AC112771.1	0	0	0	0	0	0
RNF7	62	58	75	35	61	0
AC112504.2	0	0	0	0	0	0
GRK7	0	0	0	0	0	0
HMGN2P25	0	0	0	0	0	0
ATP1B3	326	355	363	367	365	0
RNU6-509P	0	0	0	0	2	0
ATP1B3-AS1	0	0	0	0	0	0
AC112504.1	0	0	0	0	0	0
TFDP2	86	53	71	59	40	0
AC133435.1	0	0	0	0	2	0
RNU6-425P	0	0	0	0	0	0
GK5	16	9	17	17	26	0
XRN1	91	74	83	73	95	0
RNU6-1294P	0	0	0	0	0	0
RNU1-100P	0	0	0	0	0	0
ATR	47	94	25	74	63	0
AC109992.1	0	0	0	0	0	0
AC109992.2	0	0	0	0	0	0
RPL6P9	0	0	0	0	0	0
RNA5SP143	0	0	0	0	0	0
PLS1	2	9	4	0	2	0
PLS1-AS1	0	0	0	0	0	0
RN7SKP25	0	0	0	0	0	0
TRPC1	13	7	6	10	19	0
RNU7-47P	0	0	0	0	0	0
PCOLCE2	0	0	0	0	0	0
AC021074.1	255	290	256	253	266	0
AC021074.3	0	0	0	0	0	0
PAQR9	0	0	0	0	0	0
AC021074.2	0	0	0	0	0	0
PAQR9-AS1	0	0	0	0	0	0
U2SURP	150	139	126	198	176	0
AC026304.1	0	0	0	0	0	0
AC018450.2	0	0	0	0	0	0
CHST2	64	74	62	64	70	0
AC018450.1	0	0	0	0	0	0
PBX2P1	46	55	63	60	30	0
SLC9A9	0	17	0	8	5	0
AC131210.1	0	0	0	0	0	0
SLC9A9-AS1	0	0	0	0	0	0
SLC9A9-AS2	0	0	0	0	0	0
GAPDHP47	0	0	0	0	0	0
ST13P15	27	17	20	21	16	0
AC073358.1	0	0	0	0	0	0
AC107421.1	0	0	0	0	0	0
DIPK2A	78	48	83	62	73	0
RNA5SP144	0	0	0	0	0	0
AC011592.1	0	0	0	0	0	0
LARP7P4	0	0	0	0	0	0
GM2AP1	0	0	0	0	1	0
RPL21P39	3	3	2	2	2	0
AC055758.2	0	0	0	0	0	0
AC055758.1	0	0	0	0	0	0
AC107021.2	0	5	2	0	0	0
AC107021.1	0	4	0	0	0	0
LNCSRLR	0	0	0	3	0	0
PLOD2	911	897	849	838	867	0
PLSCR4	301	266	362	302	286	0
AC130509.1	0	0	0	0	0	0
AC069528.1	0	0	0	0	0	0
PLSCR2	0	0	0	0	0	0
AC069528.2	0	0	0	0	0	0
PLSCR1	145	142	148	186	157	0
RNU6-428P	0	0	0	0	0	0
PLSCR5	0	0	0	0	0	0
PLSCR5-AS1	0	0	0	0	0	0
AC092957.1	0	0	0	0	0	0
LINC02010	0	0	0	0	0	0
RNU6-505P	0	0	0	0	0	0
RPL21P71	0	0	0	0	0	0
ZIC4	0	0	0	0	0	0
ZIC4-AS1	0	0	0	0	0	0
ZIC1	0	0	0	0	0	0
NPM1P28	0	0	0	0	0	0
AC092925.1	0	0	0	0	0	0
AC092958.1	0	0	0	0	0	0
AC092958.4	0	0	0	0	0	0
LINC02032	0	0	0	0	0	0
AC092958.3	0	0	0	0	0	0
AC092958.2	0	0	0	0	0	0
AC025566.1	0	0	0	0	0	0
HNRNPA1P20	0	0	0	0	0	0
LINC02045	0	0	0	0	0	0
LINC02046	0	0	0	0	0	0
AC069410.1	0	0	0	0	0	0
RPL38P1	0	0	0	0	0	0
AGTR1	0	0	0	0	0	0
CPB1	0	0	0	0	0	0
HMGB1P30	0	0	0	0	0	0
AC092979.1	0	0	0	0	0	0
CPA3	5	2	7	3	10	0
UBQLN4P1	67	104	76	66	90	0
GYG1	80	70	85	73	80	0
HLTF	52	64	35	96	42	0
HLTF-AS1	0	0	0	0	0	0
MED28P2	0	0	0	0	0	0
HPS3	42	72	51	64	47	0
CP	0	0	0	0	0	0
CPHL1P	0	0	0	0	0	0
AC093001.1	0	0	0	0	0	0
TM4SF18	163	146	142	137	138	0
AC073522.1	0	0	0	0	0	0
TM4SF1	1098	1084	1110	1254	1102	0
TM4SF1-AS1	0	0	0	0	0	0
AC108751.4	0	0	0	0	0	0
AC108751.2	0	0	0	0	0	0
AC108751.3	4	7	10	8	6	0
FKBP1AP4	1	0	0	1	0	0
AC108751.1	0	0	0	0	0	0
TM4SF4	0	0	0	0	0	0
AC108751.5	0	0	0	0	0	0
WWTR1	883	758	836	875	846	0
RNU6-1098P	0	0	0	0	0	0
WWTR1-IT1	0	0	0	0	0	0
WWTR1-AS1	0	0	0	0	0	0
COMMD2	44	92	78	69	82	0
ANKUB1	0	0	0	0	0	0
RNU6-507P	0	0	0	0	0	0
RNF13	47	33	49	22	37	0
RNU6-720P	0	0	0	0	0	0
NPM1P29	0	4	0	0	0	0
PFN2	251	279	217	294	250	0
AC117395.1	0	0	0	0	0	0
TMEM183B	116	109	130	83	86	0
PPIAP73	0	0	0	0	0	0
HNRNPA1P24	0	0	0	0	0	0
AC117386.2	0	0	0	0	0	0
AC022494.1	51	47	60	44	68	0
LINC01998	0	0	0	0	0	0
RPL32P9	0	0	0	0	0	0
AC117386.1	0	0	0	0	0	0
LINC01213	0	0	0	0	0	0
LINC01214	0	0	0	0	0	0
TSC22D2	88	67	85	69	64	0
SERP1	282	212	253	241	255	0
EIF2A	265	281	271	347	318	0
SELENOT	95	119	131	110	114	0
AC069236.1	1	19	2	2	15	0
ERICH6	0	0	0	2	0	0
ERICH6-AS1	0	6	0	0	0	0
SNRPCP3	0	0	3	1	0	0
SIAH2	49	35	40	27	40	0
SIAH2-AS1	0	0	0	0	0	0
CLRN1-AS1	0	0	0	0	0	0
MINDY4B	0	0	0	0	0	0
AC020636.2	0	0	0	0	0	0
AC020636.1	0	0	0	0	0	0
CLRN1	0	0	0	0	0	0
RF02089	0	0	0	0	0	0
MED12L	0	0	0	0	0	0
RNA5SP145	0	0	0	0	0	0
GPR171	0	0	0	0	0	0
P2RY14	0	0	0	0	0	0
SETP11	0	0	0	0	0	0
GPR87	0	0	0	0	0	0
P2RY13	0	0	0	0	0	0
P2RY12	0	0	0	0	0	0
IGSF10	0	0	0	0	0	0
MRPL42P6	1	0	0	2	2	0
AC117454.1	0	0	0	0	0	0
MIR5186	0	0	0	0	0	0
LINC02066	0	0	0	0	0	0
AADACL2	0	0	0	0	0	0
AADACL2-AS1	0	0	0	0	0	0
AC068647.1	0	0	0	0	0	0
AADACP1	0	1	3	0	2	0
AC068647.2	0	0	0	0	0	0
AADAC	0	0	0	0	0	0
SUCNR1	0	0	0	0	0	0
AC108718.1	0	0	0	0	0	0
MBNL1	669	728	606	606	700	0
MBNL1-AS1	0	6	0	0	0	0
TMEM14EP	0	0	0	0	0	0
AC026347.1	0	0	0	0	0	0
AC092924.1	0	0	0	0	0	0
ATP5MGP5	0	0	0	0	0	0
P2RY1	10	6	2	11	10	0
HMGN2P13	0	0	0	0	0	0
AC117394.1	0	1	4	1	2	0
AC117394.2	0	0	0	0	0	0
RAP2B	145	113	122	124	97	0
RN7SL300P	0	0	0	0	0	0
AC078788.1	0	0	0	0	0	0
AC078788.2	0	0	0	0	0	0
LINC02006	2	0	0	0	0	0
C3orf79	0	0	0	0	0	0
RNU6-901P	0	0	0	0	0	0
AC068985.1	0	0	0	0	0	0
RPL21P42	0	0	0	0	0	0
ARHGEF26-AS1	0	0	0	0	0	0
ARHGEF26	2	8	14	0	6	0
DHX36	130	120	109	82	139	0
AC134026.1	0	0	0	0	0	0
GPR149	0	0	0	0	0	0
DDX50P2	11	6	13	6	16	0
AC092994.1	0	0	0	0	0	0
SYPL1P1	0	0	0	0	0	0
DYNLL1P5	0	0	0	0	0	0
RPL9P15	0	0	0	0	0	0
AC073359.2	0	0	0	0	0	0
AC073359.1	0	0	0	0	0	0
MME	30	31	43	38	51	0
MME-AS1	0	0	0	0	0	0
LINC01487	0	0	0	0	0	0
DWORF	0	0	0	0	0	0
AC104831.1	0	0	0	0	0	0
PABPC1P10	0	0	0	0	0	0
PLCH1	0	0	0	0	0	0
AC108729.3	0	0	0	0	0	0
AC108729.2	0	0	0	0	0	0
AC108729.1	0	0	0	0	0	0
RN7SL715P	0	0	0	0	0	0
PLCH1-AS1	0	0	0	0	0	0
PLCH1-AS2	0	0	0	0	0	0
RPL6P7	1	0	0	0	0	0
AC104472.1	0	0	0	0	0	0
AC104472.2	0	0	0	0	0	0
C3orf33	2	2	0	0	0	0
AC104472.3	0	0	0	0	0	0
SLC33A1	24	33	21	21	28	0
GMPS	236	199	193	205	221	0
SETP14	341	270	305	302	324	0
VN2R1P	0	0	0	0	0	0
KCNAB1	133	91	81	97	96	0
ALG1L15P	17	9	27	31	21	0
MRE11P1	8	12	16	9	9	0
AC091607.1	37	42	39	49	38	0
KCNAB1-AS2	0	0	0	0	0	0
KCNAB1-AS1	0	0	0	0	0	0
AC084036.1	2	1	0	0	0	0
SSR3	491	389	377	444	430	0
TIPARP-AS1	0	0	0	2	0	0
TIPARP	100	83	63	87	92	0
METTL15P1	4	0	2	2	2	0
LINC00886	0	0	0	0	0	0
PA2G4P4	324	279	325	331	358	0
LEKR1	0	0	0	2	0	0
KLF3P2	0	0	0	0	0	0
AC117392.1	0	0	0	0	0	0
RN7SKP177	0	0	0	0	0	0
LINC00880	0	0	0	0	0	0
LINC02029	0	0	0	0	0	0
LINC00881	0	0	0	0	0	0
CCNL1	123	137	84	107	98	0
KRT18P34	2	2	1	0	2	0
AC104411.1	0	0	0	2	0	0
RNA5SP146	0	0	0	0	0	0
AC092944.1	0	0	0	0	0	0
AC092944.2	0	0	0	0	0	0
VEPH1	166	256	174	180	194	0
PTX3	962	891	1005	892	966	0
PQLC2L	4	0	0	2	0	0
AC079943.2	0	0	0	0	0	0
RN7SKP46	0	0	0	0	0	0
AC079943.1	0	0	0	0	0	0
SHOX2	0	0	0	0	0	0
RSRC1	37	24	19	38	32	0
AC074276.1	0	0	0	0	0	0
AC074276.2	0	0	0	0	0	0
AC106707.2	0	0	0	0	0	0
AC106707.1	0	0	0	0	0	0
MLF1	7	10	3	0	17	0
MTAPP1	0	0	0	0	0	0
AC025033.1	0	0	0	0	0	0
GFM1	150	216	176	151	149	0
LXN	89	66	75	76	70	0
AC080013.4	2	0	0	2	1	0
AC080013.6	0	1	0	0	1	0
RARRES1	0	0	5	0	4	0
MFSD1	108	106	92	106	122	0
AC080013.1	0	0	0	1	0	0
AC080013.2	0	0	0	0	0	0
AC080013.3	0	0	0	0	0	0
AC080013.5	0	4	0	0	0	0
GPR79	0	0	0	0	0	0
AC092999.1	0	0	0	0	0	0
IQCJ-SCHIP1	26	10	21	12	16	0
IQCJ	0	0	0	0	0	0
MIR3919	0	0	0	0	0	0
AC063955.1	0	0	0	0	0	0
AC092943.1	0	4	5	0	3	0
IQCJ-SCHIP1-AS1	0	0	0	0	0	0
RNU2-31P	0	0	0	0	0	0
SCHIP1	9	8	5	6	7	0
IL12A-AS1	0	0	0	0	0	0
IL12A	0	0	0	6	3	0
LINC01100	0	0	0	0	0	0
BRD7P2	128	115	87	106	123	0
C3orf80	0	0	0	0	0	0
AC079594.2	0	0	0	0	0	0
IFT80	3	7	14	1	9	0
AC079594.1	0	0	0	0	0	0
SMC4	264	198	260	201	251	0
MIR15B	0	0	0	0	0	0
MIR16-2	0	0	0	0	0	0
TRIM59	38	37	28	42	36	0
B3GAT3P1	11	5	9	11	7	0
RNU7-136P	0	0	0	0	0	0
KPNA4	228	230	245	227	249	0
SCARNA7	0	0	0	0	0	0
KRT8P12	0	7	4	2	8	0
RPL6P8	0	0	0	0	0	0
ARL14	0	0	0	0	0	0
AC069224.1	0	0	0	0	0	0
PPM1L	4	8	13	4	6	0
B3GALNT1	41	30	30	52	38	0
NMD3	94	103	75	67	41	0
AC108738.1	0	0	0	0	0	0
EEF1GP4	0	0	0	0	0	0
PSMC1P7	0	0	0	0	0	0
SPTSSB	0	0	0	0	0	0
LINC02067	0	0	0	0	0	0
AC112491.1	0	0	0	0	1	0
RPL23AP42	1	3	0	1	1	0
OTOL1	0	0	0	0	0	0
AC131211.1	0	0	0	0	0	0
TOMM22P6	0	0	0	0	0	0
AC128716.1	0	0	0	0	0	0
AC128685.1	0	0	0	0	0	0
RPS6P4	0	0	0	0	0	0
LINC01192	0	0	0	0	0	0
RNU7-82P	0	0	0	0	0	0
AC079910.1	0	0	0	0	0	0
AC084017.1	0	0	0	0	0	0
MIR1263	0	0	0	0	0	0
LINC01323	0	0	0	0	0	0
LINC01324	0	0	0	0	0	0
SI	0	0	0	0	0	0
LINC02023	0	0	0	0	0	0
SLITRK3	0	0	0	0	0	0
LINC01322	0	0	0	0	0	0
BCHE	2	0	3	0	5	0
MTND4P17	0	0	0	0	0	0
MTND4LP10	0	0	0	0	0	0
MTND3P7	0	0	0	0	0	0
MTCO3P38	0	0	0	0	0	0
MCUR1P2	0	0	0	0	0	0
AC104629.1	0	0	0	0	0	0
LINC01326	0	0	0	0	0	0
AC072046.2	0	0	0	0	0	0
RN7SKP298	0	0	0	0	0	0
PSAT1P4	0	4	1	7	1	0
AC072046.1	0	0	0	0	0	0
CBX1P5	0	0	0	0	0	0
AC069439.2	0	0	0	0	0	0
AC069439.1	0	0	0	0	0	0
PPIAP74	0	0	0	0	0	0
ZBBX	0	0	0	0	0	0
LINC01327	0	0	0	0	0	0
SERPINI2	0	0	0	0	0	0
WDR49	0	0	0	0	0	0
PDCD10	119	136	129	125	134	0
HMGN1P8	0	0	0	0	0	0
SERPINI1	2	0	0	0	5	0
LRRC77P	0	0	0	0	0	0
AC026353.1	0	0	0	0	0	0
MEMO1P3	0	0	0	0	0	0
AC128713.1	0	0	0	0	0	0
HMGN2P26	0	0	0	0	0	0
GOLIM4	146	126	171	229	176	0
EGFEM1P	0	0	0	0	0	0
AC124893.1	0	0	0	0	0	0
RNU2-20P	0	0	0	0	0	0
MIR551B	0	0	0	0	0	0
RPSAP33	0	0	0	0	0	0
RPL21P43	0	0	0	0	0	0
LINC02082	0	0	0	0	0	0
AC092954.1	0	0	0	0	0	0
AC092954.2	0	0	0	0	0	0
LINC01997	0	0	0	0	0	0
MECOM	229	236	177	229	210	0
AC074033.1	0	2	1	0	2	0
RPL22P1	315	308	326	333	349	0
AC007849.1	0	0	0	0	0	0
AC007849.2	0	0	0	0	0	0
RNU6-637P	0	0	0	0	0	0
TERC	0	0	0	0	0	0
RF00024	0	0	0	0	0	0
ACTRT3	6	8	10	4	3	0
AC078802.1	2	0	1	1	0	0
MYNN	38	20	16	40	51	0
AC078795.1	2	0	0	0	0	0
LRRC34	0	0	2	3	5	0
AC078795.3	0	0	0	0	0	0
AC078795.2	0	0	0	0	0	0
LRRIQ4	0	0	0	0	0	0
LRRC31	0	0	0	0	0	0
KRT18P43	0	0	0	0	0	0
SAMD7	0	0	0	0	0	0
AC008040.3	3	2	0	1	0	0
AC008040.1	0	1	0	0	0	0
AC008040.4	0	0	0	0	0	0
SEC62	164	152	179	133	143	0
SEC62-AS1	0	0	0	0	2	0
GPR160	0	0	4	3	3	0
RNU4-38P	0	0	0	0	0	0
AC008040.2	0	0	0	0	0	0
PHC3	54	45	50	55	65	0
RNU6-315P	0	0	0	0	0	0
PRKCI	23	25	22	30	60	0
AC073288.1	0	0	0	0	0	0
SKIL	96	101	100	76	61	0
AC073288.2	0	0	0	0	0	0
CLDN11	1181	1103	1056	986	1016	0
AC026316.4	0	0	0	0	0	0
MIR6828	0	0	0	0	0	0
SLC7A14-AS1	0	0	0	0	0	0
SLC7A14	8	1	12	2	4	0
KRT8P13	0	0	0	0	0	0
AC026316.1	14	18	11	23	14	0
AC026316.3	0	0	0	0	0	0
AC026316.2	0	1	0	0	0	0
RPL22L1	48	44	55	41	66	0
EIF5A2	17	24	20	16	22	0
KLF7P1	0	0	0	0	1	0
RNU1-70P	0	0	0	0	0	0
SLC2A2	0	0	0	0	0	0
TNIK	193	257	184	232	226	0
MIR569	0	0	0	0	0	0
AC092919.2	6	2	4	4	0	0
AC092919.1	0	0	0	2	0	0
RNU6-348P	0	0	0	0	0	0
AC008134.1	0	0	0	0	0	0
PLD1	243	221	181	209	291	0
TMEM212	0	0	0	0	0	0
TMEM212-AS1	0	0	0	0	0	0
TMEM212-IT1	0	0	0	0	0	0
FNDC3B	997	951	900	1037	1058	0
RPS27AP8	0	0	0	0	0	0
RN7SL141P	0	0	0	0	0	0
AC092964.1	0	0	4	0	0	0
BZW1P1	146	143	145	144	122	0
GHSR	0	0	0	0	0	0
TNFSF10	80	82	104	123	87	0
AC007919.1	3	0	6	5	2	0
LINC02068	0	0	0	0	0	0
SLC31A1P1	9	22	0	7	7	0
NCEH1	105	137	102	81	98	0
AC007919.2	0	0	0	0	0	0
RNU6-547P	0	0	0	0	0	0
ECT2	104	126	114	121	102	0
RNU4-4P	0	0	0	0	0	0
ATP5MC1P4	0	0	0	4	0	0
AC108667.1	0	0	0	0	0	0
SPATA16	0	0	0	0	0	0
AC068759.1	0	0	0	0	0	0
NLGN1	26	21	52	42	28	0
AC092967.1	0	0	0	0	0	0
NLGN1-AS1	0	0	0	0	0	0
RN7SKP234	0	0	0	0	0	0
AC069218.2	0	0	0	0	0	0
AC069218.1	77	79	93	85	96	0
NAALADL2	5	0	2	3	6	0
RN7SKP40	0	0	0	0	0	0
EEF1B2P8	0	0	0	0	0	0
NAALADL2-AS3	0	0	0	0	0	0
NAALADL2-AS2	0	0	0	0	0	0
MIR4789	0	0	0	0	0	0
RNU6-1233P	0	0	0	0	0	0
RNU4-91P	0	0	0	0	0	0
AC119744.1	0	0	0	0	0	0
UBE2V1P2	82	104	114	101	110	0
RNU6-1317P	0	0	0	0	0	0
NAALADL2-AS1	0	0	0	0	0	0
AC104640.1	0	0	0	0	0	0
ACTG1P23	1	0	2	0	0	0
EI24P1	0	0	0	0	0	0
AC104640.2	0	0	0	0	0	0
AC117434.1	0	0	0	0	0	0
LINC01208	0	0	0	0	0	0
MIR7977	0	0	0	0	0	0
RNA5SP147	0	0	0	0	0	0
LINC01209	0	0	0	0	0	0
MTND5P15	0	0	0	0	0	0
TBL1XR1	145	149	156	113	139	0
TBL1XR1-AS1	0	0	0	0	0	0
RNU6-681P	0	0	0	0	0	0
LINC00501	0	0	0	0	0	0
ASS1P7	0	0	1	0	0	0
AC117465.1	0	0	0	0	0	0
LINC00578	0	0	0	0	0	0
RN7SKP52	0	0	0	0	0	0
AC026355.2	0	0	0	0	0	0
RF00425	0	0	0	0	0	0
AC026355.1	0	0	0	0	0	0
AC026355.3	0	0	0	0	0	0
LINC02015	0	0	0	0	0	0
AC007953.1	0	0	0	0	0	0
AC007953.2	0	0	0	0	0	0
RNU6-1120P	0	0	0	0	0	0
AC110992.1	0	0	0	0	0	0
AC117453.1	0	0	0	0	0	0
KCNMB2	0	0	0	0	0	0
AC117457.1	0	0	0	0	0	0
LINC01014	0	0	0	0	0	0
RNA5SP148	0	0	0	0	0	0
PPIAP75	0	0	0	0	0	0
KCNMB2-AS1	0	0	0	0	0	0
ZMAT3	203	222	183	228	202	0
AC076966.1	0	0	0	0	0	0
PIK3CA	64	79	86	61	62	0
KCNMB3	8	4	2	0	0	0
LRRFIP1P1	34	30	35	61	42	0
ZNF639	34	42	47	28	46	0
AC007823.1	0	0	0	0	0	0
MFN1	71	50	45	44	51	0
GNB4	203	159	148	145	147	0
AC007620.2	0	0	0	0	0	0
AC007620.3	0	0	0	0	0	0
AC007620.1	0	0	0	0	0	0
MTHFD2P7	53	52	56	47	56	0
ACTL6A	161	139	179	185	141	0
AC090425.2	0	0	0	0	0	0
AC090425.1	0	0	0	0	0	0
MRPL47	107	92	96	127	102	0
NDUFB5	158	191	156	194	124	0
AC125604.1	0	0	0	0	0	0
USP13	107	117	73	51	67	0
PEX5L	0	0	0	0	0	0
AC007687.1	0	0	0	0	0	0
PEX5L-AS1	0	0	0	0	0	0
PEX5L-AS2	0	0	0	0	0	0
RNA5SP149	0	0	0	0	0	0
AC134503.1	0	0	0	0	0	0
GAPDHP36	0	0	0	0	0	0
AC068760.1	15	11	23	25	21	0
LINC02053	0	0	0	0	0	0
AC125618.1	0	0	0	0	0	0
RNU6-486P	0	0	0	0	0	0
AC068298.1	0	0	0	0	0	0
TTC14	32	58	31	30	39	0
CCDC39	1	4	1	2	2	0
CCDC39-AS1	0	0	0	0	0	0
AC108734.4	2	0	2	0	0	0
RN7SL229P	0	0	0	0	0	0
AC108734.3	19	21	11	7	25	0
AC108734.2	0	0	0	0	0	0
FLYWCH1P1	1	0	0	0	0	0
FXR1	215	158	223	219	191	0
AC108734.1	0	0	0	0	0	0
DNAJC19	8	16	21	37	19	0
SOX2-OT	0	0	0	0	0	0
AC083904.1	17	16	15	22	14	0
RNU6-4P	0	0	1	0	0	0
FAUP2	0	0	0	0	0	0
AC022294.1	0	0	0	0	0	0
RPL7AP25	0	0	0	0	0	0
AC125613.1	0	0	0	0	0	0
RF01951	0	0	0	0	0	0
RF01953	0	0	0	0	0	0
SOX2	0	0	0	0	0	0
RF01954	0	0	0	0	0	0
RN7SL703P	0	0	0	0	0	0
AC007547.3	0	0	0	0	0	0
RNA5SP150	0	0	0	0	0	0
AC007547.2	0	0	0	0	0	0
AC007547.1	5	5	3	1	0	0
LINC01206	0	0	0	0	0	0
RN7SKP265	0	0	0	0	0	0
AC012081.1	0	0	0	0	0	0
AC084211.1	0	0	0	0	0	0
LINC01994	0	0	0	0	0	0
EIF4EP3	0	0	0	0	0	0
LINC01995	0	0	0	0	0	0
RPL7L1P8	2	0	1	0	0	0
LINC02031	0	0	0	0	0	0
AC083801.1	0	0	0	0	0	0
AC083801.2	0	0	0	0	0	0
AC069431.1	0	0	0	0	0	0
ATP11B	168	132	182	107	86	0
AC069431.2	0	0	0	0	0	0
AC092953.2	0	0	0	0	0	0
DCUN1D1	44	41	24	27	50	0
AC092953.1	0	0	0	0	0	0
MCCC1	54	70	35	53	90	0
MCCC1-AS1	0	0	0	0	0	0
LAMP3	30	44	40	37	24	0
MCF2L2	0	0	2	0	0	0
B3GNT5	37	57	49	25	43	0
RNA5SP151	0	0	0	0	0	0
LINC00888	10	8	13	13	26	0
SNORA63D	0	0	0	0	0	0
RF01241	0	0	0	0	0	0
SNORA63E	0	0	0	0	0	0
AC092960.1	0	0	0	0	0	0
KLHL6	63	58	64	63	68	0
KLHL6-AS1	0	0	0	0	0	0
AC068769.1	0	0	0	0	0	0
KLHL24	33	46	51	59	49	0
YEATS2	241	228	160	181	197	0
YEATS2-AS1	2	0	0	0	0	0
AC131160.1	0	0	0	0	0	0
MAP6D1	1	0	0	0	0	0
PARL	6	2	3	14	6	0
RPSAP31	0	0	0	0	0	0
MIR4448	0	0	0	0	0	0
CYP2AB1P	0	0	0	0	0	0
ABCC5	59	71	59	68	73	0
ABCC5-AS1	0	0	0	0	0	0
EEF1A1P8	0	0	0	0	1	0
HTR3D	0	0	0	0	0	0
HTR3C	0	0	0	0	0	0
HTR3C2P	0	0	0	0	0	0
HTR3E-AS1	0	0	0	0	0	0
HTR3E	0	0	0	0	0	0
HSP90AA5P	0	0	0	0	0	0
AC131235.3	0	0	2	0	0	0
AC131235.2	0	0	0	0	0	0
EIF2B5	116	163	109	123	136	0
AC131235.1	681	586	586	554	638	0
DVL3	219	194	211	163	114	0
AP2M1	1535	1532	1736	1477	1326	0
ABCF3	222	145	189	157	177	0
VWA5B2	0	0	0	0	0	0
MIR1224	0	0	0	0	0	0
ALG3	157	128	104	94	110	0
EEF1AKMT4	2	2	2	3	2	0
EEF1AKMT4-ECE2	0	0	0	0	0	0
CAMK2N2	0	0	0	0	0	0
ECE2	0	0	0	0	0	0
PSMD2	594	669	608	709	713	0
EIF4G1	2758	2619	2522	2929	2724	0
SNORD66	0	0	0	0	0	0
FAM131A	100	63	67	58	87	0
CLCN2	16	15	4	5	5	0
POLR2H	105	123	81	103	99	0
THPO	0	0	0	0	0	0
CHRD	1	2	11	3	0	0
LINC02054	0	0	0	0	0	0
AC128714.1	0	0	0	0	0	0
LINC01839	0	0	0	0	0	0
LINC01840	0	0	0	0	0	0
EPHB3	0	0	0	0	0	0
MAGEF1	26	26	28	30	30	0
AC107294.2	0	0	0	0	0	0
AC107294.3	0	0	0	0	0	0
AC107294.1	0	0	0	0	0	0
LINC02069	0	0	0	0	0	0
VPS8	119	157	151	102	97	0
C3orf70	0	0	0	0	0	0
EHHADH-AS1	0	0	0	0	0	0
EHHADH	2	0	5	4	0	0
EIF2S2P2	11	6	7	7	14	0
MIR5588	0	0	0	0	0	0
MAP3K13	43	30	25	23	26	0
RPL4P4	2982	2783	3145	2966	2955	0
TMEM41A	71	49	47	50	58	0
AC099661.1	0	0	0	0	0	0
LIPH	0	0	0	0	0	0
SENP2	164	156	141	107	96	0
AC133473.1	2	0	0	0	0	0
IGF2BP2	215	186	196	162	209	0
IGF2BP2-AS1	0	0	0	0	0	0
MIR548AQ	0	0	0	0	0	0
TRA2B	512	464	493	435	442	0
NMRAL2P	0	0	0	0	0	0
ETV5	163	107	109	129	162	0
ETV5-AS1	0	0	0	0	0	0
DGKG	0	0	0	0	0	0
LINC02020	0	0	0	0	0	0
LINC02052	0	0	0	0	0	0
LINC02051	0	0	0	0	0	0
CRYGS	2	4	0	0	0	0
TBCCD1	22	16	20	32	12	0
DNAJB11	211	247	200	183	146	0
AC068631.1	0	0	0	0	0	0
AC068631.2	0	0	0	0	0	0
AC068631.3	0	1	1	0	0	0
AHSG	0	0	0	0	0	0
FETUB	0	0	0	0	0	0
HRG	0	0	0	0	0	0
AC109780.1	0	0	0	0	0	0
AC109780.2	0	0	0	0	0	0
KNG1	0	0	0	0	0	0
PSMD10P2	0	1	1	0	3	0
RNU6-1105P	0	0	0	0	0	0
GPS2P2	0	0	0	0	0	0
AC112907.3	2	3	0	1	0	0
EIF4A2	264	314	263	309	345	0
SNORD2	0	0	0	0	0	0
SNORA63B	0	0	0	0	0	0
MIR1248	0	0	0	0	0	0
SNORA81	0	0	0	0	0	0
SNORA63	0	0	0	0	0	0
SNORA4	0	0	0	0	0	0
RFC4	53	50	48	83	54	0
AC112907.1	0	0	0	0	0	0
LINC02043	0	0	0	0	4	0
AC112907.2	0	1	0	2	0	0
ADIPOQ	0	0	0	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0
RPS20P14	543	516	548	579	545	0
AC007690.1	0	0	0	0	0	0
ST6GAL1	578	576	588	530	569	0
RPL39L	25	8	31	26	42	0
AC007920.1	0	0	0	0	0	0
RTP1	0	0	0	0	0	0
MASP1	8	0	0	0	3	0
AC007920.2	0	0	0	0	0	0
RTP4	2	0	0	1	0	0
AC068299.1	0	0	0	0	0	0
LINC02041	0	0	0	0	0	0
SST	0	0	0	0	0	0
RTP2	0	0	0	0	0	0
AC072022.1	0	0	0	0	0	0
BCL6	52	59	38	44	53	0
AC072022.2	0	0	0	0	0	0
